# Remote branch deletion manifest — 2026-08-03
# Repository: jason931225/console
# Source: GitHub DeleteEvent records cross-referenced with retained pull-request history immediately after deletion.
# Counts: merged_pr_head=167; closed_unmerged_pr_head=6; unassociated_pre_pivot=76; rejected_post_pivot=1; total=250.
# A deleted ref is archaeology only. PR refs and merge/tag objects remain the durable source for merged history.
category	pr	deleted_at_utc	ref
closed_unmerged_pr_head	166	2026-08-03T13:45:27Z	codex/absence-exit-workflow
closed_unmerged_pr_head	152	2026-08-03T13:46:07Z	codex/system-audit
closed_unmerged_pr_head	233	2026-08-03T13:46:25Z	feat/console-oyatie-m4
closed_unmerged_pr_head	148	2026-08-03T13:46:40Z	fix/adr0009-kotlin-android-gate-t_f29e27b1
closed_unmerged_pr_head	538	2026-08-03T13:47:06Z	refactor/pg-harness-out-of-buck
closed_unmerged_pr_head	133	2026-08-03T13:47:15Z	wt/t_31ff3f4e
merged_pr_head	455	2026-08-03T13:45:20Z	audit/w4-add-anything-window-drag
merged_pr_head	557	2026-08-03T13:45:21Z	authority/contract-v2
merged_pr_head	556	2026-08-03T13:45:21Z	authority/expand-rebased
merged_pr_head	509	2026-08-03T13:45:21Z	chore/approve-execution-plan
merged_pr_head	450	2026-08-03T13:45:22Z	chore/ci-dedup-w4
merged_pr_head	495	2026-08-03T13:45:22Z	chore/console-rename-v2
merged_pr_head	511	2026-08-03T13:45:23Z	chore/lane-friction-fixes
merged_pr_head	517	2026-08-03T13:45:23Z	chore/lane-process-tuning
merged_pr_head	518	2026-08-03T13:45:24Z	chore/promote-conformance-required
merged_pr_head	522	2026-08-03T13:45:24Z	chore/slice-pipeline
merged_pr_head	216	2026-08-03T13:45:25Z	chore/wave-simplify-pass
merged_pr_head	553	2026-08-03T13:45:25Z	ci/parallel-build-serial-tests
merged_pr_head	524	2026-08-03T13:45:26Z	ci/read-path-proof-in-ci
merged_pr_head	559	2026-08-03T13:45:27Z	ci/wire-kernel-core
merged_pr_head	491	2026-08-03T13:45:32Z	codex/console-consolidation-wave5-20260725
merged_pr_head	493	2026-08-03T13:45:33Z	codex/console-foundation-20260723
merged_pr_head	489	2026-08-03T13:45:34Z	codex/default-branch-authority-bootstrap-20260725
merged_pr_head	161	2026-08-03T13:45:35Z	codex/dev-auth-review-followup
merged_pr_head	486	2026-08-03T13:45:39Z	codex/ios-ci-hermetic-selfhost
merged_pr_head	479	2026-08-03T13:45:39Z	codex/mobile-ci-session-contract-fixes
merged_pr_head	492	2026-08-03T13:45:39Z	codex/operational-object-runtime-progress
merged_pr_head	490	2026-08-03T13:45:44Z	codex/pr488-final-integration-v2-20260725
merged_pr_head	478	2026-08-03T13:46:05Z	codex/production-authority-blocked-observation-20260721T190021Z
merged_pr_head	546	2026-08-03T13:46:08Z	docs/adr-0037-location-information-act
merged_pr_head	240	2026-08-03T13:46:08Z	docs/adr-bare-metal-portability-ha
merged_pr_head	527	2026-08-03T13:46:09Z	docs/ecosystem-plan-session
merged_pr_head	551	2026-08-03T13:46:09Z	docs/erasure-architecture
merged_pr_head	531	2026-08-03T13:46:10Z	docs/erasure-pitr-conflict
merged_pr_head	236	2026-08-03T13:46:10Z	docs/log-persistence-design
merged_pr_head	165	2026-08-03T13:46:11Z	docs/m1-retro
merged_pr_head	520	2026-08-03T13:46:11Z	docs/no-code-ontology-brief
merged_pr_head	471	2026-08-03T13:46:11Z	docs/program-design-mirror-sync
merged_pr_head	454	2026-08-03T13:46:12Z	docs/w3-polish-sweep-r2
merged_pr_head	139	2026-08-03T13:46:13Z	feat/attendance-direct-import-t_20260702
merged_pr_head	226	2026-08-03T13:46:13Z	feat/audit-chain-attestation
merged_pr_head	208	2026-08-03T13:46:14Z	feat/automation-triggers-be-auto
merged_pr_head	265	2026-08-03T13:46:14Z	feat/cc-dynamics
merged_pr_head	256	2026-08-03T13:46:15Z	feat/cc-inbox-docs
merged_pr_head	266	2026-08-03T13:46:15Z	feat/cc-leave-domain
merged_pr_head	261	2026-08-03T13:46:16Z	feat/cc-messenger-parity
merged_pr_head	262	2026-08-03T13:46:16Z	feat/cc-mox-integration
merged_pr_head	260	2026-08-03T13:46:17Z	feat/cc-office-sessions
merged_pr_head	258	2026-08-03T13:46:17Z	feat/cc-ontology-depth
merged_pr_head	254	2026-08-03T13:46:17Z	feat/cc-templates-search
merged_pr_head	257	2026-08-03T13:46:18Z	feat/cedar-enrollment-parity
merged_pr_head	510	2026-08-03T13:46:18Z	feat/company-conformance-suite
merged_pr_head	514	2026-08-03T13:46:19Z	feat/company-lane
merged_pr_head	512	2026-08-03T13:46:19Z	feat/conformance-declaration-seam
merged_pr_head	242	2026-08-03T13:46:20Z	feat/console-cc-p0-composer
merged_pr_head	280	2026-08-03T13:46:20Z	feat/console-cc-p0-lifecycle
merged_pr_head	357	2026-08-03T13:46:21Z	feat/console-cc-p0-objectcard
merged_pr_head	237	2026-08-03T13:46:21Z	feat/console-cc-p0-scaffold
merged_pr_head	249	2026-08-03T13:46:21Z	feat/console-cc-p0-shell
merged_pr_head	248	2026-08-03T13:46:22Z	feat/console-cc-p0-window
merged_pr_head	269	2026-08-03T13:46:22Z	feat/console-cc-policy-gate
merged_pr_head	259	2026-08-03T13:46:23Z	feat/console-cc-token-grammar
merged_pr_head	436	2026-08-03T13:46:23Z	feat/console-host-root
merged_pr_head	432	2026-08-03T13:46:24Z	feat/console-overhaul-m1
merged_pr_head	210	2026-08-03T13:46:24Z	feat/console-oyatie-m2b
merged_pr_head	209	2026-08-03T13:46:25Z	feat/console-oyatie-m3
merged_pr_head	447	2026-08-03T13:46:25Z	feat/console-web-rename-t1
merged_pr_head	156	2026-08-03T13:46:26Z	feat/dev-auth-role-switcher
merged_pr_head	155	2026-08-03T13:46:27Z	feat/dev-up-local-stack
merged_pr_head	423	2026-08-03T13:46:27Z	feat/eapproval-product-term-t-1b639345
merged_pr_head	142	2026-08-03T13:46:27Z	feat/employee-attendance-payroll-link-t_20260702
merged_pr_head	515	2026-08-03T13:46:28Z	feat/employment-lane
merged_pr_head	541	2026-08-03T13:46:29Z	feat/erasure-ledger
merged_pr_head	536	2026-08-03T13:46:29Z	feat/executable-golden-case
merged_pr_head	539	2026-08-03T13:46:29Z	feat/executed-tests-gate
merged_pr_head	535	2026-08-03T13:46:30Z	feat/finite-backup-retention
merged_pr_head	170	2026-08-03T13:46:30Z	feat/g009-absence-exit-completion
